ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS
5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,2.0,5
5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611,365243,1,0,0,0,,1.0,5
5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-11331,-1808,1,1,1,0,,3.0,5
5114536,F,N,Y,0,126000.0,State servant,Incomplete higher,Married,House / apartment,-17529,-1716,1,0,0,0,,2.0,5
5054525,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16611,-8369,1,0,0,0,,4.0,5
5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523,-3420,1,0,0,0,Core staff,2.0,5
5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424,-1458,1,0,0,0,Drivers,1.0,5
5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424,-1458,1,0,0,0,Drivers,3.0,5
5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-14522,-863,1,1,0,0,Managers,1.0,5
5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396,-564,1,0,0,1,IT staff,2.0,5
5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9594,-866,1,0,0,0,Laborers,3.0,5
5116301,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22655,365243,1,0,0,0,,2.0,5
